Concept,Attributes,Group
Means of Transportation to Work by Language Spoken at Home and Ability to Speak English,"B08113_001EA,  B08113_001M,  B08113_001MA",B08113
Means of Transportation to Work by Workers' Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B08119_001EA,  B08119_001M,  B08119_001MA",B08119
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Means of Transportation to Work,"B08121_001EA,  B08121_001M,  B08121_001MA",B08121
Means of Transportation to Work by Poverty Status in the Past 12 Months,"B08122_001EA,  B08122_001M,  B08122_001MA",B08122
Means of Transportation to Work by Occupation,"B08124_001EA,  B08124_001M,  B08124_001MA",B08124
Means of Transportation to Work by Industry,"B08126_001EA,  B08126_001M,  B08126_001MA",B08126
Means of Transportation to Work by Class of Worker,"B08128_001EA,  B08128_001M,  B08128_001MA",B08128
Means of Transportation to Work by Place of Work--State and County Level,"B08130_001EA,  B08130_001M,  B08130_001MA",B08130
Aggregate Travel Time to Work (in Minutes) of Workers by Place of Work--State and County Level,"B08131_001EA,  B08131_001M,  B08131_001MA",B08131
Means of Transportation to Work by Time of Departure to Go to Work,"B08132_001EA,  B08132_001M,  B08132_001MA",B08132
Aggregate Travel Time to Work (in Minutes) of Workers by Time of Departure to Go to Work,"B08133_001EA,  B08133_001M,  B08133_001MA",B08133
Means of Transportation to Work by Travel Time to Work,"B08134_001EA,  B08134_001M,  B08134_001MA",B08134
Aggregate Travel Time to Work (in Minutes) of Workers by Travel Time to Work,"B08135_001EA,  B08135_001M,  B08135_001MA",B08135
Aggregate Travel Time to Work (in Minutes) of Workers by Means of Transportation to Work,"B08136_001EA,  B08136_001M,  B08136_001MA",B08136
Means of Transportation to Work by Tenure,"B08137_001EA,  B08137_001M,  B08137_001MA",B08137
Means of Transportation to Work by Vehicles Available,"B08141_001EA,  B08141_001M,  B08141_001MA",B08141
Household Size by Vehicles Available,"B08201_001EA,  B08201_001M,  B08201_001MA",B08201
Household Size by Number of Workers in Household,"B08202_001EA,  B08202_001M,  B08202_001MA",B08202
Number of Workers in Household by Vehicles Available,"B08203_001EA,  B08203_001M,  B08203_001MA",B08203
Means of Transportation to Work,"B08301_001EA,  B08301_001M,  B08301_001MA",B08301
Time of Departure to Go to Work,"B08302_001EA,  B08302_001M,  B08302_001MA",B08302
Travel Time to Work,"B08303_001EA,  B08303_001M,  B08303_001MA",B08303
Sex of Workers by Means of Transportation to Work for Workplace Geography,"B08406_001EA,  B08406_001M,  B08406_001MA",B08406
Sex of Workers by Travel Time to Work for Workplace Geography,"B08412_001EA,  B08412_001M,  B08412_001MA",B08412
Means of Transportation to Work by Age for Workplace Geography,"B08501_001EA,  B08501_001M,  B08501_001MA",B08501
Median Age by Means of Transportation to Work for Workplace Geography,"B08503_001EA,  B08503_001M,  B08503_001MA",B08503
Means of Transportation to Work for Workplace Geography (White Alone),"B08505A_001EA,  B08505A_001M,  B08505A_001MA",B08505A
Means of Transportation to Work for Workplace Geography (Black or African American Alone),"B08505B_001EA,  B08505B_001M,  B08505B_001MA",B08505B
Means of Transportation to Work for Workplace Geography (American Indian and Alaska Native Alone),"B08505C_001EA,  B08505C_001M,  B08505C_001MA",B08505C
Means of Transportation to Work for Workplace Geography (Asian Alone),"B08505D_001EA,  B08505D_001M,  B08505D_001MA",B08505D
Means of Transportation to Work for Workplace Geography (Native Hawaiian and Other Pacific Islander Alone),"B08505E_001EA,  B08505E_001M,  B08505E_001MA",B08505E
Means of Transportation to Work for Workplace Geography (Some Other Race Alone),"B08505F_001EA,  B08505F_001M,  B08505F_001MA",B08505F
Means of Transportation to Work for Workplace Geography (Two or More Races),"B08505G_001EA,  B08505G_001M,  B08505G_001MA",B08505G
"Means of Transportation to Work for Workplace Geography (White Alone, Not Hispanic or Latino)","B08505H_001EA,  B08505H_001M,  B08505H_001MA",B08505H
Means of Transportation to Work for Workplace Geography (Hispanic or Latino),"B08505I_001EA,  B08505I_001M,  B08505I_001MA",B08505I
Means of Transportation to Work by Citizenship Status for Workplace Geography,"B08511_001EA,  B08511_001M,  B08511_001MA",B08511
Means of Transportation to Work by Language Spoken at Home and Ability to Speak English for Workplace Geography,"B08513_001EA,  B08513_001M,  B08513_001MA",B08513
Means of Transportation to Work by Workers' Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Workplace Geography,"B08519_001EA,  B08519_001M,  B08519_001MA",B08519
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Means of Transportation to Work for Workplace Geography,"B08521_001EA,  B08521_001M,  B08521_001MA",B08521
Means of Transportation to Work by Poverty Status in the Past 12 Months for Workplace Geography,"B08522_001EA,  B08522_001M,  B08522_001MA",B08522
Means of Transportation to Work by Occupation for Workplace Geography,"B08524_001EA,  B08524_001M,  B08524_001MA",B08524
Means of Transportation to Work by Industry for Workplace Geography,"B08526_001EA,  B08526_001M,  B08526_001MA",B08526
Means of Transportation to Work by Class of Worker for Workplace Geography,"B08528_001EA,  B08528_001M,  B08528_001MA",B08528
Means of Transportation to Work by Time Arriving at Work for Workplace Geography,"B08532_001EA,  B08532_001M,  B08532_001MA",B08532
Means of Transportation to Work by Travel Time to Work for Workplace Geography,"B08534_001EA,  B08534_001M,  B08534_001MA",B08534
Aggregate Travel Time to Work (in Minutes) of Workers by Means of Transportation to Work for Workplace Geography,"B08536_001EA,  B08536_001M,  B08536_001MA",B08536
Means of Transportation to Work by Tenure for Workplace Geography,"B08537_001EA,  B08537_001M,  B08537_001MA",B08537
Means of Transportation to Work by Vehicles Available for Workplace Geography,"B08541_001EA,  B08541_001M,  B08541_001MA",B08541
Means of Transportation to Work for Workplace Geography,"B08601_001EA,  B08601_001M,  B08601_001MA",B08601
Time Arriving at Work for Workplace Geography,"B08602_001EA,  B08602_001M,  B08602_001MA",B08602
Travel Time to Work for Workplace Geography,"B08603_001EA,  B08603_001M,  B08603_001MA",B08603
Worker Population for Workplace Geography,"B08604_001EA,  B08604_001M,  B08604_001MA",B08604
Population Under 18 Years by Age,"B09001_001EA,  B09001_001M,  B09001_001MA",B09001
Own Children Under 18 Years by Family Type and Age,"B09002_001EA,  B09002_001M,  B09002_001MA",B09002
"Household Type for Children Under 18 Years in Households (Excluding Householders, Spouses, and Unmarried Partners)","B09005_001EA,  B09005_001M,  B09005_001MA",B09005
"Receipt of Supplemental Security Income (SSI), Cash Public Assistance Income, or Food Stamps/SNAP in the Past 12 Months by Household Type for Children Under 18 Years in Households","B09010_001EA,  B09010_001M,  B09010_001MA",B09010
Relationship to Householder for Children Under 18 Years in Households,"B09018_001EA,  B09018_001M,  B09018_001MA",B09018
Household Type (Including Living Alone) by Relationship,"B09019_001EA,  B09019_001M,  B09019_001MA",B09019
Relationship by Household Type (Including Living Alone) for the Population 65 Years and Over,"B09020_001EA,  B09020_001M,  B09020_001MA",B09020
Living Arrangements of Adults 18 Years and Over by Age,"B09021_001EA,  B09021_001M,  B09021_001MA",B09021
Grandchildren Under 18 Years Living With a Grandparent Householder by Age of Grandchild,"B10001_001EA,  B10001_001M,  B10001_001MA",B10001
Grandchildren Under 18 Years Living With a Grandparent Householder by Grandparent Responsibility and Presence of Parent,"B10002_001EA,  B10002_001M,  B10002_001MA",B10002
Median Family Income for Families With Grandparent Householders and/or Spouses Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Presence of Parent of Grandchildren,"B10010_001EA,  B10010_001M,  B10010_001MA",B10010
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,"B10050_001EA,  B10050_001M,  B10050_001MA",B10050
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Presence of Parent of Grandchildren and Age of Grandparent,"B10051_001EA,  B10051_001M,  B10051_001MA",B10051
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (White Alone),"B10051A_001EA,  B10051A_001M,  B10051A_001MA",B10051A
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Black or African American Alone),"B10051B_001EA,  B10051B_001M,  B10051B_001MA",B10051B
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (American Indian and Alaska Native Alone),"B10051C_001EA,  B10051C_001M,  B10051C_001MA",B10051C
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Asian Alone),"B10051D_001EA,  B10051D_001M,  B10051D_001MA",B10051D
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Native Hawaiian and Other Pacific Islander Alone),"B10051E_001EA,  B10051E_001M,  B10051E_001MA",B10051E
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Some Other Race Alone),"B10051F_001EA,  B10051F_001M,  B10051F_001MA",B10051F
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Two or More Races),"B10051G_001EA,  B10051G_001M,  B10051G_001MA",B10051G
"Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (White Alone, Not Hispanic or Latino)","B10051H_001EA,  B10051H_001M,  B10051H_001MA",B10051H
Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Hispanic or Latino),"B10051I_001EA,  B10051I_001M,  B10051I_001MA",B10051I
Disability Status of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent,"B10052_001EA,  B10052_001M,  B10052_001MA",B10052
Nativity by Grandparents Responsible for Own Grandchildren Under 18 Years by Age of Grandparent,"B10053_001EA,  B10053_001M,  B10053_001MA",B10053
Language and Ability to Speak English of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent,"B10054_001EA,  B10054_001M,  B10054_001MA",B10054
Sex of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent,"B10056_001EA,  B10056_001M,  B10056_001MA",B10056
Marital Status by Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent,"B10057_001EA,  B10057_001M,  B10057_001MA",B10057
Employment Status of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent,"B10058_001EA,  B10058_001M,  B10058_001MA",B10058
Poverty Status in the Past 12 Months of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent,"B10059_001EA,  B10059_001M,  B10059_001MA",B10059
Households With Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Presence of Parent of Grandchildren,"B10063_001EA,  B10063_001M,  B10063_001MA",B10063
Household Type (Including Living Alone),"B11001_001EA,  B11001_001M,  B11001_001MA",B11001
Household Type (Including Living Alone) (White Alone),"B11001A_001EA,  B11001A_001M,  B11001A_001MA",B11001A
Household Type (Including Living Alone) (Black or African American Alone),"B11001B_001EA,  B11001B_001M,  B11001B_001MA",B11001B
Household Type (Including Living Alone) (American Indian and Alaska Native Alone),"B11001C_001EA,  B11001C_001M,  B11001C_001MA",B11001C
Household Type (Including Living Alone) (Asian Alone),"B11001D_001EA,  B11001D_001M,  B11001D_001MA",B11001D
Household Type (Including Living Alone) (Native Hawaiian and Other Pacific Islander Alone),"B11001E_001EA,  B11001E_001M,  B11001E_001MA",B11001E
Household Type (Including Living Alone) (Some Other Race Alone),"B11001F_001EA,  B11001F_001M,  B11001F_001MA",B11001F
Household Type (Including Living Alone) (Two or More Races),"B11001G_001EA,  B11001G_001M,  B11001G_001MA",B11001G
"Household Type (Including Living Alone) (White Alone, Not Hispanic or Latino)","B11001H_001EA,  B11001H_001M,  B11001H_001MA",B11001H
Household Type (Including Living Alone) (Hispanic or Latino),"B11001I_001EA,  B11001I_001M,  B11001I_001MA",B11001I
Household Type by Relatives and Nonrelatives for Population in Households,"B11002_001EA,  B11002_001M,  B11002_001MA",B11002
Household Type by Relatives and Nonrelatives for Population in Households (White Alone),"B11002A_001EA,  B11002A_001M,  B11002A_001MA",B11002A
Household Type by Relatives and Nonrelatives for Population in Households (Black or African American Alone),"B11002B_001EA,  B11002B_001M,  B11002B_001MA",B11002B
Household Type by Relatives and Nonrelatives for Population in Households (American Indian and Alaska Native Alone),"B11002C_001EA,  B11002C_001M,  B11002C_001MA",B11002C
Household Type by Relatives and Nonrelatives for Population in Households (Asian Alone),"B11002D_001EA,  B11002D_001M,  B11002D_001MA",B11002D
Household Type by Relatives and Nonrelatives for Population in Households (Native Hawaiian and Other Pacific Islander Alone),"B11002E_001EA,  B11002E_001M,  B11002E_001MA",B11002E
Household Type by Relatives and Nonrelatives for Population in Households (Some Other Race Alone),"B11002F_001EA,  B11002F_001M,  B11002F_001MA",B11002F
Household Type by Relatives and Nonrelatives for Population in Households (Two or More Races),"B11002G_001EA,  B11002G_001M,  B11002G_001MA",B11002G
"Household Type by Relatives and Nonrelatives for Population in Households (White Alone, Not Hispanic or Latino)","B11002H_001EA,  B11002H_001M,  B11002H_001MA",B11002H
Household Type by Relatives and Nonrelatives for Population in Households (Hispanic or Latino),"B11002I_001EA,  B11002I_001M,  B11002I_001MA",B11002I
Family Type by Presence and Age of Own Children Under 18 Years,"B11003_001EA,  B11003_001M,  B11003_001MA",B11003
Family Type by Presence and Age of Related Children Under 18 Years,"B11004_001EA,  B11004_001M,  B11004_001MA",B11004
Households by Presence of People Under 18 Years by Household Type,"B11005_001EA,  B11005_001M,  B11005_001MA",B11005
Households by Presence of People 60 Years and Over by Household Type,"B11006_001EA,  B11006_001M,  B11006_001MA",B11006
"Households by Presence of People 65 Years and Over, Household Size and Household Type","B11007_001EA,  B11007_001M,  B11007_001MA",B11007
Cohabiting Couple Households by Presence and Age of Own Children Under 18 Years,"B11008_001EA,  B11008_001M,  B11008_001MA",B11008
Coupled Households by Type,"B11009_001EA,  B11009_001M,  B11009_001MA",B11009
Nonfamily Households by Sex of Householder by Living Alone by Age of Householder,"B11010_001EA,  B11010_001M,  B11010_001MA",B11010
Household Type by Units in Structure,"B11011_001EA,  B11011_001M,  B11011_001MA",B11011
Households by Type,"B11012_001EA,  B11012_001M,  B11012_001MA",B11012
Subfamily Type by Presence of Own Children Under 18 Years,"B11013_001EA,  B11013_001M,  B11013_001MA",B11013
Population in Subfamilies by Subfamily Type by Relationship,"B11014_001EA,  B11014_001M,  B11014_001MA",B11014
Households by Presence of Nonrelatives,"B11015_001EA,  B11015_001M,  B11015_001MA",B11015
Household Type by Household Size,"B11016_001EA,  B11016_001M,  B11016_001MA",B11016
Multigenerational Households,"B11017_001EA,  B11017_001M,  B11017_001MA",B11017
Sex by Marital Status for the Population 15 Years and Over,"B12001_001EA,  B12001_001M,  B12001_001MA",B12001
Sex by Marital Status by Age for the Population 15 Years and Over,"B12002_001EA,  B12002_001M,  B12002_001MA",B12002
Sex by Marital Status for the Population 15 Years and Over (White Alone),"B12002A_001EA,  B12002A_001M,  B12002A_001MA",B12002A
Sex by Marital Status for the Population 15 Years and Over (Black or African American Alone),"B12002B_001EA,  B12002B_001M,  B12002B_001MA",B12002B
Sex by Marital Status for the Population 15 Years and Over (American Indian and Alaska Native Alone),"B12002C_001EA,  B12002C_001M,  B12002C_001MA",B12002C
Sex by Marital Status for the Population 15 Years and Over (Asian Alone),"B12002D_001EA,  B12002D_001M,  B12002D_001MA",B12002D
Sex by Marital Status for the Population 15 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"B12002E_001EA,  B12002E_001M,  B12002E_001MA",B12002E
Sex by Marital Status for the Population 15 Years and Over (Some Other Race Alone),"B12002F_001EA,  B12002F_001M,  B12002F_001MA",B12002F
Sex by Marital Status for the Population 15 Years and Over (Two or More Races),"B12002G_001EA,  B12002G_001M,  B12002G_001MA",B12002G
"Sex by Marital Status for the Population 15 Years and Over (White Alone, Not Hispanic or Latino)","B12002H_001EA,  B12002H_001M,  B12002H_001MA",B12002H
Sex by Marital Status for the Population 15 Years and Over (Hispanic or Latino),"B12002I_001EA,  B12002I_001M,  B12002I_001MA",B12002I
Marital Status by Sex by Labor Force Participation,"B12006_001EA,  B12006_001M,  B12006_001MA",B12006
Median Age at First Marriage,"B12007_001EA,  B12007_001M,  B12007_001MA",B12007
Median Age at First Marriage (White Alone),"B12007A_001EA,  B12007A_001M,  B12007A_001MA",B12007A
Median Age at First Marriage (Black or African American Alone),"B12007B_001EA,  B12007B_001M,  B12007B_001MA",B12007B
Median Age at First Marriage (American Indian and Alaska Native Alone),"B12007C_001EA,  B12007C_001M,  B12007C_001MA",B12007C
Median Age at First Marriage (Asian Alone),"B12007D_001EA,  B12007D_001M,  B12007D_001MA",B12007D
Median Age at First Marriage (Native Hawaiian and Other Pacific Islander Alone),"B12007E_001EA,  B12007E_001M,  B12007E_001MA",B12007E
Median Age at First Marriage (Some Other Race Alone),"B12007F_001EA,  B12007F_001M,  B12007F_001MA",B12007F
Median Age at First Marriage (Two or More Races),"B12007G_001EA,  B12007G_001M,  B12007G_001MA",B12007G
"Median Age at First Marriage (White Alone, Not Hispanic or Latino)","B12007H_001EA,  B12007H_001M,  B12007H_001MA",B12007H
Median Age at First Marriage (Hispanic or Latino),"B12007I_001EA,  B12007I_001M,  B12007I_001MA",B12007I
Marriages in the Last Year by Sex by Marital Status for the Population 15 Years and Over,"B12501_001EA,  B12501_001M,  B12501_001MA",B12501
Marriages Ending in Widowhood in the Last Year by Sex by Marital Status for the Population 15 Years and Over,"B12502_001EA,  B12502_001M,  B12502_001MA",B12502
Divorces in the Last Year by Sex by Marital Status for the Population 15 Years and Over,"B12503_001EA,  B12503_001M,  B12503_001MA",B12503
Median Duration of Current Marriage in Years by Sex by Marital Status for the Married Population 15 Years and Over,"B12504_001EA,  B12504_001M,  B12504_001MA",B12504
Number of Times Married by Sex by Marital Status for the Population 15 Years and Over,"B12505_001EA,  B12505_001M,  B12505_001MA",B12505
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status and Age,"B13002_001EA,  B13002_001M,  B13002_001MA",B13002
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (White Alone),"B13002A_001EA,  B13002A_001M,  B13002A_001MA",B13002A
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (Black or African American Alone),"B13002B_001EA,  B13002B_001M,  B13002B_001MA",B13002B
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (American Indian and Alaska Native Alone),"B13002C_001EA,  B13002C_001M,  B13002C_001MA",B13002C
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (Asian Alone),"B13002D_001EA,  B13002D_001M,  B13002D_001MA",B13002D
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (Native Hawaiian and Other Pacific Islander Alone),"B13002E_001EA,  B13002E_001M,  B13002E_001MA",B13002E
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (Some Other Race Alone),"B13002F_001EA,  B13002F_001M,  B13002F_001MA",B13002F
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (Two or More Races),"B13002G_001EA,  B13002G_001M,  B13002G_001MA",B13002G
"Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (White Alone, Not Hispanic or Latino)","B13002H_001EA,  B13002H_001M,  B13002H_001MA",B13002H
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status (Hispanic or Latino),"B13002I_001EA,  B13002I_001M,  B13002I_001MA",B13002I
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Presence of Spouse or Unmarried Partner,"B13004_001EA,  B13004_001M,  B13004_001MA",B13004
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status and Nativity,"B13008_001EA,  B13008_001M,  B13008_001MA",B13008
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status and Poverty Status in the Past 12 Months,"B13010_001EA,  B13010_001M,  B13010_001MA",B13010
Women 16 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status and Labor Force Status,"B13012_001EA,  B13012_001M,  B13012_001MA",B13012
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status and Educational Attainment,"B13014_001EA,  B13014_001M,  B13014_001MA",B13014
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Marital Status and Receipt of Public Assistance Income in the Past 12 Months,"B13015_001EA,  B13015_001M,  B13015_001MA",B13015
Women 15 to 50 Years Who Had a Birth in the Past 12 Months by Age,"B13016_001EA,  B13016_001M,  B13016_001MA",B13016
School Enrollment by Level of School for the Population 3 Years and Over,"B14001_001EA,  B14001_001M,  B14001_001MA",B14001
Sex by School Enrollment by Level of School by Type of School for the Population 3 Years and Over,"B14002_001EA,  B14002_001M,  B14002_001MA",B14002
Sex by School Enrollment by Type of School by Age for the Population 3 Years and Over,"B14003_001EA,  B14003_001M,  B14003_001MA",B14003
Sex by College or Graduate School Enrollment by Type of School by Age for the Population 15 Years and Over,"B14004_001EA,  B14004_001M,  B14004_001MA",B14004
Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years,"B14005_001EA,  B14005_001M,  B14005_001MA",B14005
Poverty Status in the Past 12 Months by School Enrollment by Level of School for the Population 3 Years and Over,"B14006_001EA,  B14006_001M,  B14006_001MA",B14006
School Enrollment by Detailed Level of School for the Population 3 Years and Over,"B14007_001EA,  B14007_001M,  B14007_001MA",B14007
School Enrollment by Detailed Level of School for the Population 3 Years and Over (White Alone),"B14007A_001EA,  B14007A_001M,  B14007A_001MA",B14007A
School Enrollment by Detailed Level of School for the Population 3 Years and Over (Black or African American Alone),"B14007B_001EA,  B14007B_001M,  B14007B_001MA",B14007B
School Enrollment by Detailed Level of School for the Population 3 Years and Over (American Indian and Alaska Native Alone),"B14007C_001EA,  B14007C_001M,  B14007C_001MA",B14007C
School Enrollment by Detailed Level of School for the Population 3 Years and Over (Asian Alone),"B14007D_001EA,  B14007D_001M,  B14007D_001MA",B14007D
School Enrollment by Detailed Level of School for the Population 3 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"B14007E_001EA,  B14007E_001M,  B14007E_001MA",B14007E
School Enrollment by Detailed Level of School for the Population 3 Years and Over (Some Other Race Alone),"B14007F_001EA,  B14007F_001M,  B14007F_001MA",B14007F
School Enrollment by Detailed Level of School for the Population 3 Years and Over (Two or More Races),"B14007G_001EA,  B14007G_001M,  B14007G_001MA",B14007G
"School Enrollment by Detailed Level of School for the Population 3 Years and Over (White Alone, Not Hispanic or Latino)","B14007H_001EA,  B14007H_001M,  B14007H_001MA",B14007H
School Enrollment by Detailed Level of School for the Population 3 Years and Over (Hispanic or Latino),"B14007I_001EA,  B14007I_001M,  B14007I_001MA",B14007I
Sex by Age by Educational Attainment for the Population 18 Years and Over,"B15001_001EA,  B15001_001M,  B15001_001MA",B15001
Sex by Educational Attainment for the Population 25 Years and Over,"B15002_001EA,  B15002_001M,  B15002_001MA",B15002
Educational Attainment for the Population 25 Years and Over,"B15003_001EA,  B15003_001M,  B15003_001MA",B15003
Sex by Age by Field of Bachelor's Degree for First Major for the Population 25 Years and Over,"B15011_001EA,  B15011_001M,  B15011_001MA",B15011
Total Fields of Bachelor's Degrees Reported,"B15012_001EA,  B15012_001M,  B15012_001MA",B15012
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Field of Bachelor's Degree for First Major,"B15013_001EA,  B15013_001M,  B15013_001MA",B15013
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Age by Field of Bachelor's Degree for First Major,"B15014_001EA,  B15014_001M,  B15014_001MA",B15014
Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over,"B16001_001EA,  B16001_001M,  B16001_001MA",B16001
Detailed Household Language by Household Limited English Speaking Status,"B16002_001EA,  B16002_001M,  B16002_001MA",B16002
Age by Language Spoken at Home for the Population 5 Years and Over in Limited English Speaking Households,"B16003_001EA,  B16003_001M,  B16003_001MA",B16003
Age by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over,"B16004_001EA,  B16004_001M,  B16004_001MA",B16004
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over,"B16005_001EA,  B16005_001M,  B16005_001MA",B16005
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (White Alone),"B16005A_001EA,  B16005A_001M,  B16005A_001MA",B16005A
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (Black or African American Alone),"B16005B_001EA,  B16005B_001M,  B16005B_001MA",B16005B
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (American Indian and Alaska Native Alone),"B16005C_001EA,  B16005C_001M,  B16005C_001MA",B16005C
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (Asian Alone),"B16005D_001EA,  B16005D_001M,  B16005D_001MA",B16005D
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"B16005E_001EA,  B16005E_001M,  B16005E_001MA",B16005E
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (Some Other Race Alone),"B16005F_001EA,  B16005F_001M,  B16005F_001MA",B16005F
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (Two or More Races),"B16005G_001EA,  B16005G_001M,  B16005G_001MA",B16005G
"Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (White Alone, Not Hispanic or Latino)","B16005H_001EA,  B16005H_001M,  B16005H_001MA",B16005H
Nativity by Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (Hispanic or Latino),"B16005I_001EA,  B16005I_001M,  B16005I_001MA",B16005I
Language Spoken at Home by Ability to Speak English for the Population 5 Years and Over (Hispanic or Latino),"B16006_001EA,  B16006_001M,  B16006_001MA",B16006
Age by Language Spoken at Home for the Population 5 Years and Over,"B16007_001EA,  B16007_001M,  B16007_001MA",B16007
Citizenship Status by Age by Language Spoken at Home and Ability to Speak English for the Population 5 Years and Over,"B16008_001EA,  B16008_001M,  B16008_001MA",B16008
Poverty Status in the Past 12 Months by Age by Language Spoken at Home for the Population 5 Years and Over,"B16009_001EA,  B16009_001M,  B16009_001MA",B16009
Educational Attainment and Employment Status by Language Spoken at Home for the Population 25 Years and Over,"B16010_001EA,  B16010_001M,  B16010_001MA",B16010
Poverty Status in the Past 12 Months by Sex by Age,"B17001_001EA,  B17001_001M,  B17001_001MA",B17001
Poverty Status in the Past 12 Months by Sex by Age (White Alone),"B17001A_001EA,  B17001A_001M,  B17001A_001MA",B17001A
Poverty Status in the Past 12 Months by Sex by Age (Black or African American Alone),"B17001B_001EA,  B17001B_001M,  B17001B_001MA",B17001B
Poverty Status in the Past 12 Months by Sex by Age (American Indian and Alaska Native Alone),"B17001C_001EA,  B17001C_001M,  B17001C_001MA",B17001C
Poverty Status in the Past 12 Months by Sex by Age (Asian Alone),"B17001D_001EA,  B17001D_001M,  B17001D_001MA",B17001D
Poverty Status in the Past 12 Months by Sex by Age (Native Hawaiian and Other Pacific Islander Alone),"B17001E_001EA,  B17001E_001M,  B17001E_001MA",B17001E
Poverty Status in the Past 12 Months by Sex by Age (Some Other Race Alone),"B17001F_001EA,  B17001F_001M,  B17001F_001MA",B17001F
Poverty Status in the Past 12 Months by Sex by Age (Two or More Races),"B17001G_001EA,  B17001G_001M,  B17001G_001MA",B17001G
"Poverty Status in the Past 12 Months by Sex by Age (White Alone, Not Hispanic or Latino)","B17001H_001EA,  B17001H_001M,  B17001H_001MA",B17001H
