MATRIC#,SEASON,SURVEY_SCORE,MATRICYR
2163,W,61.0%,23
1027,W,58.0%,23
2506,W,92.0%,23
1096,W,57.0%,23
1200,W,59.0%,23
3693,W,53.0%,23
5168,W,70.0%,23
2958,W,63.0%,23
1879,W,44.0%,23
2953,W,69.0%,23
1810,W,64.0%,23
2978,W,70.0%,23
2449,W,69.0%,23
3383,W,63.0%,23
1103,W,76.0%,23
2000,W,56.0%,23
2450,W,72.0%,23
1116,W,64.0%,23
2491,W,61.0%,23
2878,W,68.0%,23
1180,W,71.0%,23
108,W,70.0%,23
587,W,70.0%,23
2611,W,53.0%,23
3435,W,50.0%,23
3498,W,48.0%,23
198,W,66.0%,23
2886,W,66.0%,23
3700,W,57.0%,23
2479,W,85.0%,23
1102,W,59.0%,23
3518,W,87.0%,23
1338,W,73.0%,23
4528,W,69.0%,23
1358,W,73.0%,23
591,W,55.0%,23
577,W,60.0%,23
4304,W,79.0%,23
3597,W,62.0%,23
2513,W,62.0%,23
748,W,62.0%,23
5229,W,50.0%,23
1577,W,48.0%,23
1641,W,80.0%,23
1528,W,68.0%,23
3334,W,84.0%,23
4337,W,67.0%,23
858,W,72.0%,23
2202,W,65.0%,23
293,W,46.0%,23
3696,W,76.0%,23
1671,W,66.0%,23
412,W,70.0%,23
669,W,48.0%,23
4388,W,55.0%,23
2044,W,73.0%,23
4452,W,66.0%,23
5088,W,67.0%,23
707,W,58.0%,23
3034,W,78.0%,23
3451,W,81.0%,23
3308,W,70.0%,23
1762,W,89.0%,23
4919,W,70.0%,23
3826,W,59.0%,23
3879,W,85.0%,23
2106,W,90.0%,23
1887,W,66.0%,23
1939,W,65.0%,23
4063,W,47.0%,23
945,W,74.0%,23
4372,W,55.0%,23
5123,W,83.0%,23
4807,W,63.0%,23
3426,W,71.0%,23
967,W,47.0%,23
1426,W,75.0%,23
1640,W,57.0%,23
909,W,63.0%,23
563,W,64.0%,23
3790,W,75.0%,23
1589,W,86.0%,23
1068,W,78.0%,23
781,W,52.0%,23
3223,W,61.0%,23
3396,W,54.0%,23
180,W,44.0%,23
1549,W,58.0%,23
5337,W,65.0%,23
4296,W,77.0%,23
3087,W,67.0%,23
5007,W,66.0%,23
1162,W,56.0%,23
2374,W,50.0%,23
668,W,49.0%,23
1770,W,67.0%,23
2212,W,69.0%,23
3208,W,50.0%,23
417,W,72.0%,23
1645,W,50.0%,23
2413,W,77.0%,23
1997,W,68.0%,23
934,W,59.0%,23
3602,W,68.0%,23
732,W,63.0%,23
2383,W,67.0%,23
4148,W,65.0%,23
3595,W,56.0%,23
4260,W,55.0%,23
2097,W,73.0%,23
3026,W,82.0%,23
2141,W,64.0%,23
2034,W,48.0%,23
4733,W,53.0%,23
5264,W,44.0%,23
1066,W,48.0%,23
5141,W,58.0%,23
2353,W,64.0%,23
4724,W,47.0%,23
294,W,48.0%,23
1968,W,82.0%,23
2986,W,65.0%,23
1674,W,58.0%,23
2181,W,45.0%,23
1527,W,82.0%,23
3964,W,66.0%,23
4282,W,51.0%,23
3641,W,68.0%,23
3706,W,71.0%,23
566,W,68.0%,23
2705,W,82.0%,23
5001,W,75.0%,23
2519,W,55.0%,23
1570,W,82.0%,23
4113,W,60.0%,23
849,W,90.0%,23
3083,W,62.0%,23
3935,W,55.0%,23
3013,W,55.0%,23
3206,W,60.0%,23
1778,W,67.0%,23
2244,W,67.0%,23
170,W,63.0%,23
4638,W,71.0%,23
3962,W,57.0%,23
3077,W,63.0%,23
4730,W,70.0%,23
3197,W,66.0%,23
4457,W,63.0%,23
4905,W,59.0%,23
3501,W,51.0%,23
2194,W,74.0%,23
2730,W,47.0%,23
3036,W,69.0%,23
1886,W,65.0%,23
1880,W,76.0%,23
2981,W,56.0%,23
4761,W,75.0%,23
2724,W,47.0%,23
4141,W,63.0%,23
1522,W,59.0%,23
1706,W,45.0%,23
4151,W,59.0%,23
2164,W,47.0%,23
5059,W,64.0%,23
3315,W,58.0%,23
946,W,69.0%,23
4819,W,70.0%,23
1857,W,72.0%,23
5166,W,78.0%,23
4593,W,50.0%,23
2792,W,70.0%,23
4594,W,62.0%,23
3198,W,85.0%,23
1875,W,73.0%,23
3045,W,47.0%,23
158,W,74.0%,23
5137,W,84.0%,23
1221,W,51.0%,23
2597,W,46.0%,23
4446,W,80.0%,23
5297,W,58.0%,23
4823,W,58.0%,23
4096,W,61.0%,23
3817,W,74.0%,23
306,W,61.0%,23
1381,W,84.0%,23
2534,W,67.0%,23
2020,W,74.0%,23
3608,W,80.0%,23
1884,W,53.0%,23
3727,W,63.0%,23
3029,W,52.0%,23
4832,W,62.0%,23
1920,W,82.0%,23
163,W,78.0%,23
175,W,45.0%,23
5042,W,67.0%,23
1444,W,90.0%,23
940,W,69.0%,23
1324,W,50.0%,23
4215,W,62.0%,23
1400,W,50.0%,23
3733,W,33.0%,23
1594,W,40.0%,23
2177,W,75.0%,23
2290,W,79.0%,23
1088,W,58.0%,23
2647,W,76.0%,23
3824,W,66.0%,23
2835,W,54.0%,23
1742,W,69.0%,23
4492,W,73.0%,23
4179,W,55.0%,23
3453,W,75.0%,23
5394,W,52.0%,23
4235,W,62.0%,23
3187,W,56.0%,23
4258,W,76.0%,23
3701,W,70.0%,23
5071,W,71.0%,23
267,W,69.0%,23
5140,W,80.0%,23
3694,W,66.0%,23
3221,W,71.0%,23
273,W,58.0%,23
3788,W,65.0%,23
2650,W,63.0%,23
2661,W,71.0%,23
4827,W,65.0%,23
548,W,56.0%,23
224,W,48.0%,23
2803,W,58.0%,23
33,W,67.0%,23
1106,W,75.0%,23
2008,W,62.0%,23
1054,W,61.0%,23
1428,W,89.0%,23
69,W,47.0%,23
3028,W,53.0%,23
1017,W,47.0%,23
3274,W,88.0%,23
4469,W,68.0%,23
4748,W,50.0%,23
687,W,82.0%,23
2770,W,75.0%,23
4970,W,68.0%,23
240,W,58.0%,23
5424,W,79.0%,23
3692,W,73.0%,23
146,W,64.0%,23
2412,W,71.0%,23
4560,W,74.0%,23
1737,W,69.0%,23
2218,W,70.0%,23
3795,W,74.0%,23
4172,W,63.0%,23
4037,W,63.0%,23
2877,W,69.0%,23
1814,W,74.0%,23
3878,W,47.0%,23
5135,W,51.0%,23
843,W,84.0%,23
1006,W,74.0%,23
4937,W,71.0%,23
4908,W,64.0%,23
3141,W,61.0%,23
2066,W,79.0%,23
1363,W,50.0%,23
5042,W,67.0%,23
3070,W,69.0%,23
1954,W,59.0%,23
2693,W,69.0%,23
5164,W,67.0%,23
2529,W,73.0%,23
2171,W,40.0%,23
1013,W,51.0%,23
4098,W,55.0%,23
2547,W,45.0%,23
3653,W,59.0%,23
1625,W,72.0%,23
4567,W,47.0%,23
2120,W,43.0%,23
1876,W,64.0%,23
4870,W,67.0%,23
2748,W,84.0%,23
667,W,73.0%,23
796,W,58.0%,23
4501,W,49.0%,23
4612,W,72.0%,23
1027,W,58.0%,23
247,W,53.0%,23
5212,W,58.0%,23
2867,W,47.0%,23
1836,W,65.0%,23
2413,W,77.0%,23
267,W,69.0%,23
4521,W,63.0%,23
1527,W,82.0%,23
249,W,61.0%,23
4868,W,66.0%,23
1187,W,50.0%,23
2359,W,63.0%,23
3700,W,57.0%,23
1438,W,44.0%,23
2499,W,64.0%,23
5024,W,37.0%,23
1896,W,64.0%,23
1046,W,51.0%,23
2127,W,62.0%,23
2008,W,62.0%,23
1358,W,73.0%,23
1540,W,52.0%,23
5040,W,82.0%,23
3440,W,67.0%,23
2756,W,60.0%,23
1222,W,79.0%,23
3521,W,77.0%,23
1469,W,70.0%,23
473,W,58.0%,23
1849,W,68.0%,23
1650,W,52.0%,23
4166,W,76.0%,23
